ID,Title,Form-factor,Category of BCI,,Type of Media,Description,Keywords,Year,Prediction,BCI forecast,Utopia/Dystopia - tech-wise,Level of invasiveness,Reality factor,Neurafictionality,Neuroptimism,Name of BCI,Author/Directed by,Distributed by,Production Company,Date
170,Blade Runner: Do Androids Dream of Electric Sheep?,N/A,stimulation,,"Movie, Novel, comics, game","to keep the humans happy, an invention called the Mood Organ Device is commonly used. It is a super precise neurostimulator than can elicit whatever mood you’d like to feel.","mood control, stimulations",1968,2031,64,"dystopia, utopia",N/A,0.84375,0.266009852,0.315270936,Mood Organ Device,"Philip K. Dick, Ridley Scott",Warner Bros. Pictures,"Shaw Brothers, The Ladd Company",1-Jan-68
171,Blade Runner: Do Androids Dream of Electric Sheep?,tool,"emotions, stimulation",,"Movie, Novel, comics, game","A device that directs some sort of energy wave into a person's brain, allowing them to experience a chosen (dialed) mood.",N/A,1968,2041,74,"dystopia, utopia",Non-invasive,0.72972973,0.266009852,0.36453202,Penfield Wave Transmitter,"Philip K. Dick, Ridley Scott",Warner Bros. Pictures,"Shaw Brothers, The Ladd Company",1-Jan-68
172,The Terminal Man,implant,stimulation,,"Movie, Novel","implant electrodes in the amygdala region of his brain in order to control the seizures. This new brain implant technology is described, in which 40 electrodes are placed into the brain. Then the medical staff tests each electrode by stimulating the brain with it and seeing which electrode will stop the seizure. After the initial test, a small computer is used to determine when a patient is having a seizure and stimulates the electrode at the appropriate time, like a brain pacemaker. The implant goes on to be focal point of the book. The man finds he can cause stimulation to elicit pleasure and goes on a sort of rampage because of it.",medical,1972,2021,50,utopia,Invasive,1,0.251256281,0.251256281,P-Terminal Implant,"Michael Crichton, Mike Hodges",Warner Bros. Pictures,Warner Bros. Pictures,1-Jan-72
173,The Happiness Cage,implant,stimulation,,Movie,"experiments are being conducted by United States Army to drill into the patients’ skulls, attach wires, and alter their brains to create better soldiers and happier men — human robots.","military, pleasure",1972,2071,100,dystopia,Invasive,0.5,0.251256281,0.502512563,Mind Snatchers,Bernard Girard,Cinerama Releasing Corporation,"Film Ventures International, Laterna Films",1-Jan-72
174,The Computer Connection,implant,"manipulation, reading thoughts, stimulation",,Novel,A small electronic device implanted in the cranium at birth; used for monitoring and control.,N/A,1974,2071,98,dystopia,Invasive,0.489795918,0.243654822,0.497461929,Skull Bug,Alfred Bester,N/A,N/A,1-Jan-74
175,Blake's 7,implant,stimulation,,TV Series,"a character, has a brain implant which is supposed to prevent future aggression after being convicted of killing an officer from the oppressive Federation.",N/A,1978,2096,119,"dystopia, utopia",Invasive,0.369747899,0.227979275,0.616580311,N/A,Terry Nation,BBC,BBC,1-Jan-78
176,Brainstorm,helmet,"communication, linking, stimulation",,Movie,"headset that records and transfers feelings, thoughts, sensations",N/A,1983,2071,89,"dystopia, utopia",Non-invasive,0.438202247,0.207446809,0.473404255,N/A,Douglas Trumbull,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,1-Jan-83
177,The Outer Limits,implant,linking,,TV Series,"neural implant that allows other people to tap into The Stream — a direct connection into all human knowledge. He tries, unsuccessfully, to keep up with everyone else by using a long-forgotten skill: reading books.",network,1997,2041,45,utopia,Invasive,0.555555556,0.143678161,0.25862069,N/A,Leslie Stevens,United Artists Television,"Daystar Productions, United Artists Television",1-Jan-97
178, Star Trek: The Next Generation,tool,"consciousness transfer, linking, reading thoughts",,"Anime, Movie, TV Series, comics, game","integrating Barclay's thought processes into the Enterprise-D itself, essentially allowing him to act as the ship's computer",piloting,1991,2121,131,"dystopia, utopia",Non-invasive,0.236641221,0.172222222,0.727777778,Neural Scan Interface,Gene Roddenberry,Paramount Pictures,Paramount Television,1-Jan-91
179, Star Trek: Deep Space Nine,implant,"linking, memory",,"Anime, Movie, TV Series, comics, game","A cortical array was a Borg device that was implanted into the brain during assimilation. It was critical to higher brain functions, such as language, and it contained an index of the drone's memory engrams.",assimilation,1999,2121,123,dystopia,Invasive,0.18699187,0.13372093,0.715116279,Cortical Array,"Michael Pillar, Rick Berman",Paramount Pictures,Paramount Television,1-Jan-99
180,Mr. Spaceship,N/A,"consciousness transfer, linking",,Novel,a spaceship which is powered by a human brain,assimilation,1953,2121,169,utopia,N/A,0.408284024,0.316513761,0.775229358,brainship,Philip K. Dick,N/A,N/A,1-Jan-53
181,Person of Interest,implant,linking,,TV Series,a cochlear implant used to communicate directly with the Machine (AGI) without needing a phone.,N/A,2014,2031,18,"dystopia, utopia",Invasive,0.444444444,0.050955414,0.114649682,N/A,Jonathan Nolan,Warner Bros. Television,"Bad Robot Productions, Kilter Films, Warner Bros. Television",1-Jan-14
182,The Matrix,drug,"consciousness transfer, knowledge upload, linking, reality, storage",,"Movie, comics","Bluepills, human beings still hardwired into the Matrix via pods in the power plant, had their headjacks in non-stop use and did not know of its existence, effectively imprisoning the bluepill within the Matrix. As humanity was only expected to be disconnected from the Matrix upon death, the pod's data probe was very securely attached to the headjack.
Whenever a redpill was freed from the Matrix, a docbot was summoned, which proceeded to unpleasantly disconnect the data probe from the headjack, also disconnecting the rest of the tubes connected from the pod to the ports found along the body. The redpill, being assumed dead or dying, was then flushed into the sewers.",XR,1999,2121,123,"dystopia, utopia",bio,0.18699187,0.13372093,0.715116279,Bluepills                                   Redpills,The Wachowskis,Warner Bros. Pictures,"Village Roadshow Pictures, Warner Bros. Pictures",1-Jan-99
183,The Animatrix,implant,linking,,Movie,"The interface method is direct neural connection; the staple for the Matrix universe. Each of the person's brains are connected to the system via their brainstem, allowing full two way bodily sensory stimulus. However, there is no connection to the greater internet.",N/A,1999,2041,43,dystopia,Invasive,0.534883721,0.13372093,0.25,N/A,The Wachowskis,Warner Bros. Pictures,"Silver Pictures, Village Roadshow Pictures",1-Jan-99
184,Electric Dreams,"helmet, stand-alone electrodes","XR, linking, manipulation",,Movie,"Entering a VR using BCI. Head-worn device, which is used to enter a new, virtual reality world to get some rest, go to another reality.",XR,2018,2041,24,"dystopia, utopia",Non-invasive,0.166666667,0.026143791,0.156862745,N/A,"Michael Dinner, Philip K. Dick, Ronald D. Moore",Sony Pictures Releasing,"Amazon Studios, Anonymous Content",1-Jan-18
185,Reverie,implant,"XR, linking, manipulation",,"Movie, TV Series","The implant is attached to the “body” which helps its integration later in the tissue of a human. It is an injectable brain-computer interface that allows customers to launch into custom-built ""reveries,"" simulations that exists only in their brain.",simulations,2018,2121,104,"dystopia, utopia",Invasive,0.038461538,0.026143791,0.679738562,Reverie,Mickey Fisher,NBC Universal Television,"Amblin Entertainment, Extant Storytech",1-Jan-18
186,Surface Detail,N/A,linking,,Novel,An interface between the brain and computer facilities,N/A,2010,2041,32,"dystopia, utopia",N/A,0.375,0.074534161,0.198757764,Neural Lace,Iain M Banks,N/A,N/A,1-Jan-10
187,Forever Peace,implant,"linking, reading thoughts, robot/object control, telepathy",,Novel,"Thanks to electronic ""jacks"" implanted in their skulls, mechanics are remotely linked to the machinery as well as to each other, being able to experience battle through the machines and read the thoughts of other mechanics who are simultaneously jacked in.",military,1997,2121,125,"dystopia, utopia",Invasive,0.2,0.143678161,0.718390805,jack implant,Joe Haldeman,N/A,N/A,1-Jan-97
188,Pacific Rim,implant,linking,,"Anime, Movie, game",The Neural Spike is an invasive auxiliary device used to interface with the brain directly. The spike penetrates the the brain directly to establish a connection with the Pons System. The Neural Spike is used on the Baby Kaiju's secondary brain in order to obtain information regarding the breach.,"assimilation, military",2013,2121,109,"dystopia, utopia",Invasive,0.082568807,0.056962025,0.689873418,Neural Spike,Guillermo del Toro,Warner Bros. Pictures,Legendary Pictures,1-Jan-13
189,The Light of Other Days,N/A,"communication, linking, reading thoughts",,Novel,direct neural interface coupled with the unlimited communication provided by the wormhole technology to develop a group mind,group mind,2000,2146,147,"dystopia, utopia",N/A,0.149659864,0.128654971,0.859649123,N/A,"Arthur C. Clarke, Stephen Baxter",N/A,N/A,1-Jan-00
190,Neon Genesis Evangelion,N/A,linking,,"Anime, Movie","Evangelion bio-machines, synchronized to the nervous systems of their pilots and possessing their own force-field","assimilation, military",1995,2121,127,"dystopia, utopia",Invasive,0.212598425,0.153409091,0.721590909,N/A,Hideaki Anno,N/A,"Gainax, Tatsunoko",1-Jan-95
191,Poseidon’s Children (The Legacy of the Gods),N/A,"linking, robot/object control",,Novel,"""augs"", which allow them to access online information, view augmented reality displays, translate speech in real-time and operate telepresence robots",N/A,2012,2096,85,utopia,N/A,0.117647059,0.062893082,0.534591195,Aug,Michael West,N/A,N/A,1-Jan-12
